date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Indira Gandhi,27.2,IN-UP,174193,27
2016-02-29,Indira Gandhi,27.0,IN-UP,152551,31
2016-03-31,Indira Gandhi,26.5,IN-UP,159918,27
2016-04-30,Indira Gandhi,25.5,IN-UP,130909,21
2016-05-31,Indira Gandhi,26.8,IN-UP,161651,29
2016-06-30,Indira Gandhi,27.25,IN-UP,163665,27
2016-07-31,Indira Gandhi,28.8,IN-UP,163638,27
2016-08-31,Indira Gandhi,32.25,IN-UP,166196,25
2016-09-30,Indira Gandhi,29.5,IN-UP,162059,13
2016-10-31,Indira Gandhi,35.8,IN-UP,197793,19
2016-11-30,Indira Gandhi,48.25,IN-UP,283639,47
2016-12-31,Indira Gandhi,33.75,IN-UP,209421,22
2017-01-31,Indira Gandhi,32.8,IN-UP,197571,29
2017-02-28,Indira Gandhi,28.75,IN-UP,154800,8
2017-03-31,Indira Gandhi,28.25,IN-UP,166770,38
2017-04-30,Indira Gandhi,25.0,IN-UP,125275,79
2017-05-31,Indira Gandhi,27.25,IN-UP,147345,48
2017-06-30,Indira Gandhi,31.75,IN-UP,160488,25
2017-07-31,Indira Gandhi,43.0,IN-UP,242205,46
2017-08-31,Indira Gandhi,40.5,IN-UP,214929,41
2017-09-30,Indira Gandhi,33.0,IN-UP,176601,39
2017-10-31,Indira Gandhi,45.0,IN-UP,257044,67
2017-11-30,Indira Gandhi,53.5,IN-UP,279028,49
2017-12-31,Indira Gandhi,36.8,IN-UP,213572,28
2018-01-31,Indira Gandhi,35.5,IN-UP,186651,30
2018-02-28,Indira Gandhi,33.5,IN-UP,163710,25
2018-03-31,Indira Gandhi,37.0,IN-UP,215009,30
2018-04-30,Indira Gandhi,32.4,IN-UP,155028,27
2018-05-31,Indira Gandhi,38.0,IN-UP,203708,30
2018-06-30,Indira Gandhi,42.75,IN-UP,211557,32
2018-07-31,Indira Gandhi,42.8,IN-UP,217631,27
2018-08-31,Indira Gandhi,59.75,IN-UP,321553,56
2018-09-30,Indira Gandhi,47.2,IN-UP,184878,34
2018-10-31,Indira Gandhi,65.75,IN-UP,255103,40
2018-11-30,Indira Gandhi,60.25,IN-UP,261251,42
2018-12-31,Indira Gandhi,55.0,IN-UP,247906,40
2019-01-31,Indira Gandhi,56.0,IN-UP,305402,36
2019-02-28,Indira Gandhi,56.25,IN-UP,260800,44
2019-03-31,Indira Gandhi,56.2,IN-UP,301221,26
2019-04-30,Indira Gandhi,53.5,IN-UP,298160,46
2019-05-31,Indira Gandhi,59.5,IN-UP,373812,59
2019-06-30,Indira Gandhi,42.6,IN-UP,197375,43
2019-07-31,Indira Gandhi,39.5,IN-UP,181634,20
2019-08-31,Indira Gandhi,53.0,IN-UP,261339,43
2019-09-30,Indira Gandhi,44.0,IN-UP,203165,24
2019-10-31,Indira Gandhi,49.75,IN-UP,225857,54
2019-11-30,Indira Gandhi,55.25,IN-UP,246924,25
2019-12-31,Indira Gandhi,45.4,IN-UP,215680,16
2020-01-31,Indira Gandhi,47.0,IN-UP,208062,9
2020-02-29,Indira Gandhi,37.75,IN-UP,176440,8
2020-03-31,Indira Gandhi,35.6,IN-UP,176936,5
2020-04-30,Indira Gandhi,42.25,IN-UP,242015,178
2020-05-31,Indira Gandhi,39.4,IN-UP,245643,14
2020-06-30,Indira Gandhi,37.75,IN-UP,229474,11
2020-07-31,Indira Gandhi,35.0,IN-UP,203612,10
2020-08-31,Indira Gandhi,39.6,IN-UP,228130,16
2020-09-30,Indira Gandhi,37.0,IN-UP,168982,11
2020-10-31,Indira Gandhi,45.75,IN-UP,221288,8
2020-11-30,Indira Gandhi,40.4,IN-UP,231827,4
2020-12-31,Indira Gandhi,36.75,IN-UP,185238,9
2016-01-31,Mohanlal,18.2,IN-KL,81434,23
2016-02-29,Mohanlal,21.75,IN-KL,84073,25
2016-03-31,Mohanlal,19.0,IN-KL,106305,49
2016-04-30,Mohanlal,16.75,IN-KL,85469,18
2016-05-31,Mohanlal,19.2,IN-KL,83428,25
2016-06-30,Mohanlal,18.25,IN-KL,82798,8
2016-07-31,Mohanlal,23.6,IN-KL,94591,30
2016-08-31,Mohanlal,23.75,IN-KL,92272,46
2016-09-30,Mohanlal,30.75,IN-KL,124640,52
2016-10-31,Mohanlal,35.4,IN-KL,120758,45
2016-11-30,Mohanlal,29.25,IN-KL,103822,76
2016-12-31,Mohanlal,25.75,IN-KL,92655,77
2017-01-31,Mohanlal,26.0,IN-KL,98757,38
2017-02-28,Mohanlal,25.5,IN-KL,89138,31
2017-03-31,Mohanlal,24.0,IN-KL,90742,33
2017-04-30,Mohanlal,33.0,IN-KL,122796,84
2017-05-31,Mohanlal,28.5,IN-KL,111108,103
2017-06-30,Mohanlal,24.0,IN-KL,83167,40
2017-07-31,Mohanlal,29.4,IN-KL,101628,52
2017-08-31,Mohanlal,25.0,IN-KL,75382,51
2017-09-30,Mohanlal,26.5,IN-KL,101081,38
2017-10-31,Mohanlal,23.4,IN-KL,92218,30
2017-11-30,Mohanlal,20.75,IN-KL,74967,0
2017-12-31,Mohanlal,27.8,IN-KL,83535,0
2018-01-31,Mohanlal,27.75,IN-KL,97824,48
2018-02-28,Mohanlal,26.0,IN-KL,76065,1
2018-03-31,Mohanlal,25.0,IN-KL,85380,4
2018-04-30,Mohanlal,36.4,IN-KL,83568,36
2018-05-31,Mohanlal,36.5,IN-KL,113807,75
